vintage,iso3c,years,gdp_deflator,interest_rate_percent
weo-2026-04,UGA,2019,109.658708,5.545701008263511
weo-2026-04,UGA,2020,111.779379,4.810667749039724
weo-2026-04,UGA,2021,115.233364,6.092809246763507
weo-2026-04,UGA,2022,123.288426,6.020249439908165
weo-2026-04,UGA,2023,130.517487,6.266629562174568
weo-2026-04,UGA,2024,136.476266,6.267750351994201
weo-2026-04,UGA,2025,141.729688,7.812077470219769
weo-2026-04,UGA,2026,148.869543,8.269763134428842
weo-2026-04,UGA,2027,156.007627,8.58337854983177
weo-2026-04,UGA,2028,163.073328,9.100565458645328
weo-2026-04,UGA,2029,170.6224,9.537739377118143
weo-2026-04,KEN,2001,36.697319,4.797566193861657
weo-2026-04,KEN,2002,37.260627,5.114699031889134
weo-2026-04,KEN,2003,39.230779,4.298369001201932
weo-2026-04,KEN,2004,41.64839,3.6366856028250036
weo-2026-04,KEN,2005,43.418456,4.436972962793181
weo-2026-04,KEN,2006,44.142583,4.71836353425507
weo-2026-04,KEN,2007,47.724261,4.774896358456635
weo-2026-04,KEN,2008,54.726576,4.619336791553696
weo-2026-04,KEN,2009,61.096064,4.311097495635238
weo-2026-04,KEN,2010,62.097545,4.603191500151997
weo-2026-04,KEN,2011,68.347671,4.786272319753138
weo-2026-04,KEN,2012,74.856408,4.675111326255117
weo-2026-04,KEN,2013,80.349039,5.079940404396627
weo-2026-04,KEN,2014,86.483708,5.638683552141291
weo-2026-04,KEN,2015,94.473645,5.382715847090836
weo-2026-04,KEN,2016,100.000001,5.571397776111538
weo-2026-04,KEN,2017,107.605208,5.933802703085062
weo-2026-04,KEN,2018,112.11654,6.153734697514753
weo-2026-04,KEN,2019,116.909822,6.11775396841076
weo-2026-04,KEN,2020,122.695479,5.775967123369033
weo-2026-04,KEN,2021,128.009113,5.995285635786298
weo-2026-04,KEN,2022,136.914807,6.451031721561382
weo-2026-04,KEN,2023,144.329824,6.519778314532567
weo-2026-04,KEN,2024,148.735347,7.794974532705161
weo-2026-04,KEN,2025,154.174896,7.723238175295408
weo-2026-04,KEN,2026,163.135367,7.679983530382349
weo-2026-04,KEN,2027,172.40561,7.969179052905336
weo-2026-04,KEN,2028,181.814142,8.053745288919837
weo-2026-04,KEN,2029,191.948122,8.191752575551039
weo-2026-04,BGD,2001,40.057008,
weo-2026-04,BGD,2002,41.616338,
weo-2026-04,BGD,2003,44.036665,3.660539628522615
weo-2026-04,BGD,2004,46.045678,3.2456779893245544
weo-2026-04,BGD,2005,48.157511,3.397204740360551
weo-2026-04,BGD,2006,50.987208,3.6767687951556627
weo-2026-04,BGD,2007,54.286771,3.9120831712267017
weo-2026-04,BGD,2008,58.554211,5.28193993311575
weo-2026-04,BGD,2009,62.515052,5.510310872686662
weo-2026-04,BGD,2010,66.981531,5.231974912888414
weo-2026-04,BGD,2011,72.245905,4.6783217430176
weo-2026-04,BGD,2012,78.144448,5.3754662366076005
weo-2026-04,BGD,2013,83.751302,5.778742538784585
weo-2026-04,BGD,2014,88.498902,6.06483770134428
weo-2026-04,BGD,2015,93.696294,6.047510338136722
weo-2026-04,BGD,2016,100,5.755335405291734
weo-2026-04,BGD,2017,105.047584,5.424835087730239
weo-2026-04,BGD,2018,111.146168,5.420562086672164
weo-2026-04,BGD,2019,115.212117,5.3029513476469905
weo-2026-04,BGD,2020,119.637405,5.329995973726195
weo-2026-04,BGD,2021,124.567917,5.61429222747805
weo-2026-04,BGD,2022,130.857352,5.172246656562452
weo-2026-04,BGD,2023,139.882746,5.161453252320516
weo-2026-04,BGD,2024,149.510672,5.598837495277264
weo-2026-04,BGD,2025,159.265364,5.381859975136776
weo-2026-04,BGD,2026,173.349653,5.504782722757604
weo-2026-04,BGD,2027,183.622549,5.801630040396654
weo-2026-04,BGD,2028,192.673183,6.370846973456398
weo-2026-04,BGD,2029,202.913879,6.454067293092678
