vintage,iso3c,measure,variant,years,value
weo-2024-10,UGA,total,Medium,2009,31413
weo-2024-10,UGA,total,Medium,2010,32342
weo-2024-10,UGA,total,Medium,2011,33296
weo-2024-10,UGA,total,Medium,2012,34273
weo-2024-10,UGA,total,Medium,2013,35274
weo-2024-10,UGA,total,Medium,2014,36337
weo-2024-10,UGA,total,Medium,2015,37477
weo-2024-10,UGA,total,Medium,2016,38748
weo-2024-10,UGA,total,Medium,2017,40127
weo-2024-10,UGA,total,Medium,2018,41515
weo-2024-10,UGA,total,Medium,2019,42949
weo-2024-10,UGA,total,Medium,2020,44405
weo-2024-10,UGA,total,Medium,2021,45854
weo-2024-10,UGA,total,Medium,2022,47250
weo-2024-10,UGA,total,Medium,2023,48582
weo-2024-10,UGA,total,Medium,2024,49924
weo-2024-10,UGA,total,Medium,2025,51285
weo-2024-10,UGA,total,Medium,2026,52668
weo-2024-10,UGA,total,Medium,2027,54074
weo-2024-10,UGA,total,Medium,2028,55501
weo-2024-10,UGA,total,Medium,2029,56938
weo-2024-10,UGA,total,Medium,2030,58380
weo-2024-10,UGA,total,Medium,2031,59824
weo-2024-10,UGA,total,Medium,2032,61273
weo-2024-10,UGA,total,Medium,2033,62729
weo-2024-10,UGA,total,Medium,2034,64185
weo-2024-10,UGA,total,Medium,2035,65648
weo-2024-10,UGA,total,Medium,2036,67117
weo-2024-10,UGA,total,Medium,2037,68590
weo-2024-10,UGA,total,Medium,2038,70067
weo-2024-10,UGA,total,Medium,2039,71541
weo-2024-10,UGA,total,Medium,2040,73015
weo-2024-10,UGA,total,Medium,2041,74486
weo-2024-10,UGA,total,Medium,2042,75954
weo-2024-10,UGA,total,Medium,2043,77420
weo-2024-10,UGA,total,Medium,2044,78887
weo-2024-10,UGA,total,Medium,2045,80355
weo-2024-10,UGA,total,Medium,2046,81822
weo-2024-10,UGA,total,Medium,2047,83284
weo-2024-10,UGA,total,Medium,2048,84739
weo-2024-10,UGA,total,Medium,2049,86185
weo-2024-10,UGA,total,Medium,2050,87622
weo-2024-10,UGA,total,Medium,2051,89045
weo-2024-10,UGA,total,Medium,2052,90459
weo-2024-10,UGA,total,Medium,2053,91859
weo-2024-10,UGA,total,Medium,2054,93240
weo-2024-10,UGA,total,Medium,2055,94607
weo-2024-10,UGA,total,Medium,2056,95957
weo-2024-10,UGA,total,Medium,2057,97297
weo-2024-10,UGA,total,Medium,2058,98623
weo-2024-10,UGA,total,Medium,2059,99929
weo-2024-10,UGA,total,Medium,2060,101213
weo-2024-10,UGA,total,Medium,2061,102474
weo-2024-10,UGA,total,Medium,2062,103715
weo-2024-10,UGA,total,Medium,2063,104930
weo-2024-10,UGA,total,Medium,2064,106123
weo-2024-10,UGA,total,Medium,2065,107288
weo-2024-10,UGA,total,Medium,2066,108427
weo-2024-10,UGA,total,Medium,2067,109542
weo-2024-10,UGA,total,Medium,2068,110632
weo-2024-10,UGA,total,Medium,2069,111702
weo-2024-10,UGA,total,Medium,2070,112745
weo-2024-10,UGA,total,Medium,2071,113759
weo-2024-10,UGA,total,Medium,2072,114741
weo-2024-10,UGA,total,Medium,2073,115695
weo-2024-10,UGA,total,Medium,2074,116620
weo-2024-10,UGA,total,Medium,2075,117522
weo-2024-10,UGA,total,Medium,2076,118404
weo-2024-10,UGA,total,Medium,2077,119259
weo-2024-10,UGA,total,Medium,2078,120088
weo-2024-10,UGA,total,Medium,2079,120899
weo-2024-10,UGA,total,Medium,2080,121688
weo-2024-10,UGA,total,Medium,2081,122452
weo-2024-10,UGA,total,Medium,2082,123192
weo-2024-10,UGA,total,Medium,2083,123906
weo-2024-10,UGA,total,Medium,2084,124596
weo-2024-10,UGA,total,Medium,2085,125264
weo-2024-10,UGA,total,Medium,2086,125903
weo-2024-10,UGA,total,Medium,2087,126514
weo-2024-10,UGA,total,Medium,2088,127099
weo-2024-10,UGA,total,Medium,2089,127657
weo-2024-10,UGA,total,Medium,2090,128187
weo-2024-10,UGA,total,Medium,2091,128695
weo-2024-10,UGA,total,Medium,2092,129179
weo-2024-10,UGA,total,Medium,2093,129633
weo-2024-10,UGA,total,Medium,2094,130061
weo-2024-10,UGA,total,Medium,2095,130470
weo-2024-10,UGA,total,Medium,2096,130852
weo-2024-10,UGA,total,Medium,2097,131203
weo-2024-10,UGA,total,Medium,2098,131531
weo-2024-10,UGA,total,Medium,2099,131840
weo-2024-10,UGA,total,High,2009,31413
weo-2024-10,UGA,total,High,2010,32342
weo-2024-10,UGA,total,High,2011,33296
weo-2024-10,UGA,total,High,2012,34273
weo-2024-10,UGA,total,High,2013,35274
weo-2024-10,UGA,total,High,2014,36337
weo-2024-10,UGA,total,High,2015,37477
weo-2024-10,UGA,total,High,2016,38748
weo-2024-10,UGA,total,High,2017,40127
weo-2024-10,UGA,total,High,2018,41515
weo-2024-10,UGA,total,High,2019,42949
weo-2024-10,UGA,total,High,2020,44405
weo-2024-10,UGA,total,High,2021,45854
weo-2024-10,UGA,total,High,2022,47296
weo-2024-10,UGA,total,High,2023,48724
weo-2024-10,UGA,total,High,2024,50163
weo-2024-10,UGA,total,High,2025,51624
weo-2024-10,UGA,total,High,2026,53111
weo-2024-10,UGA,total,High,2027,54658
weo-2024-10,UGA,total,High,2028,56262
weo-2024-10,UGA,total,High,2029,57882
weo-2024-10,UGA,total,High,2030,59513
weo-2024-10,UGA,total,High,2031,61151
weo-2024-10,UGA,total,High,2032,62825
weo-2024-10,UGA,total,High,2033,64537
weo-2024-10,UGA,total,High,2034,66257
weo-2024-10,UGA,total,High,2035,67990
weo-2024-10,UGA,total,High,2036,69737
weo-2024-10,UGA,total,High,2037,71496
weo-2024-10,UGA,total,High,2038,73266
weo-2024-10,UGA,total,High,2039,75044
weo-2024-10,UGA,total,High,2040,76832
weo-2024-10,UGA,total,High,2041,78631
weo-2024-10,UGA,total,High,2042,80440
weo-2024-10,UGA,total,High,2043,82261
weo-2024-10,UGA,total,High,2044,84100
weo-2024-10,UGA,total,High,2045,85956
weo-2024-10,UGA,total,High,2046,87830
weo-2024-10,UGA,total,High,2047,89719
weo-2024-10,UGA,total,High,2048,91619
weo-2024-10,UGA,total,High,2049,93532
weo-2024-10,UGA,total,High,2050,95455
weo-2024-10,UGA,total,High,2051,97386
weo-2024-10,UGA,total,High,2052,99330
weo-2024-10,UGA,total,High,2053,101281
weo-2024-10,UGA,total,High,2054,103235
weo-2024-10,UGA,total,High,2055,105195
weo-2024-10,UGA,total,High,2056,107159
weo-2024-10,UGA,total,High,2057,109133
weo-2024-10,UGA,total,High,2058,111114
weo-2024-10,UGA,total,High,2059,113096
weo-2024-10,UGA,total,High,2060,115074
weo-2024-10,UGA,total,High,2061,117047
weo-2024-10,UGA,total,High,2062,119019
weo-2024-10,UGA,total,High,2063,120984
weo-2024-10,UGA,total,High,2064,122944
weo-2024-10,UGA,total,High,2065,124894
weo-2024-10,UGA,total,High,2066,126836
weo-2024-10,UGA,total,High,2067,128772
weo-2024-10,UGA,total,High,2068,130702
weo-2024-10,UGA,total,High,2069,132631
weo-2024-10,UGA,total,High,2070,134553
weo-2024-10,UGA,total,High,2071,136463
weo-2024-10,UGA,total,High,2072,138361
weo-2024-10,UGA,total,High,2073,140248
weo-2024-10,UGA,total,High,2074,142125
weo-2024-10,UGA,total,High,2075,143999
weo-2024-10,UGA,total,High,2076,145874
weo-2024-10,UGA,total,High,2077,147742
weo-2024-10,UGA,total,High,2078,149604
weo-2024-10,UGA,total,High,2079,151469
weo-2024-10,UGA,total,High,2080,153334
weo-2024-10,UGA,total,High,2081,155192
weo-2024-10,UGA,total,High,2082,157047
weo-2024-10,UGA,total,High,2083,158893
weo-2024-10,UGA,total,High,2084,160735
weo-2024-10,UGA,total,High,2085,162575
weo-2024-10,UGA,total,High,2086,164403
weo-2024-10,UGA,total,High,2087,166217
weo-2024-10,UGA,total,High,2088,168024
weo-2024-10,UGA,total,High,2089,169818
weo-2024-10,UGA,total,High,2090,171601
weo-2024-10,UGA,total,High,2091,173378
weo-2024-10,UGA,total,High,2092,175148
weo-2024-10,UGA,total,High,2093,176899
weo-2024-10,UGA,total,High,2094,178638
weo-2024-10,UGA,total,High,2095,180374
weo-2024-10,UGA,total,High,2096,182096
weo-2024-10,UGA,total,High,2097,183798
weo-2024-10,UGA,total,High,2098,185490
weo-2024-10,UGA,total,High,2099,187176
weo-2024-10,KEN,working_age,Low,2009,21975
weo-2024-10,KEN,working_age,Low,2010,22669
weo-2024-10,KEN,working_age,Low,2011,23357
weo-2024-10,KEN,working_age,Low,2012,24049
weo-2024-10,KEN,working_age,Low,2013,24755
weo-2024-10,KEN,working_age,Low,2014,25471
weo-2024-10,KEN,working_age,Low,2015,26203
weo-2024-10,KEN,working_age,Low,2016,26981
weo-2024-10,KEN,working_age,Low,2017,27788
weo-2024-10,KEN,working_age,Low,2018,28586
weo-2024-10,KEN,working_age,Low,2019,29403
weo-2024-10,KEN,working_age,Low,2020,30268
weo-2024-10,KEN,working_age,Low,2021,31147
weo-2024-10,KEN,working_age,Low,2022,32047
weo-2024-10,KEN,working_age,Low,2023,32990
weo-2024-10,KEN,working_age,Low,2024,33950
weo-2024-10,KEN,working_age,Low,2025,34900
weo-2024-10,KEN,working_age,Low,2026,35825
weo-2024-10,KEN,working_age,Low,2027,36725
weo-2024-10,KEN,working_age,Low,2028,37604
weo-2024-10,KEN,working_age,Low,2029,38462
weo-2024-10,KEN,working_age,Low,2030,39314
weo-2024-10,KEN,working_age,Low,2031,40168
weo-2024-10,KEN,working_age,Low,2032,41018
weo-2024-10,KEN,working_age,Low,2033,41855
weo-2024-10,KEN,working_age,Low,2034,42683
weo-2024-10,KEN,working_age,Low,2035,43511
weo-2024-10,KEN,working_age,Low,2036,44337
weo-2024-10,KEN,working_age,Low,2037,45117
weo-2024-10,KEN,working_age,Low,2038,45854
weo-2024-10,KEN,working_age,Low,2039,46590
weo-2024-10,KEN,working_age,Low,2040,47326
